timeHMS,emotion_level,subject
0:03:27,0,D
0:03:37,-1,B
0:04:09,2,D
0:04:15,1,C
0:04:24,2,D
0:05:24,0,C
0:05:42,-1,B
0:06:36,2,B
0:06:48,1,C
0:07:09,0,B
0:07:30,2,C
0:08:00,-2,C
0:08:15,2,B
0:08:53,2,D
0:08:55,2,B
0:09:23,0,C
0:09:24,0,B
0:09:36,1,D
0:09:58,0,B
0:10:18,1,D
0:10:23,-1,C
0:10:40,0,D
0:10:49,1,B
0:11:22,2,B
0:11:28,-1,D
0:11:48,-2,C
0:12:03,2,B
0:12:36,0,B
0:13:06,0,D
0:13:14,2,B
0:14:03,2,B
0:14:42,0,C
0:14:55,1,B
0:15:30,1,D
0:15:46,-1,C
0:16:23,0,B
0:16:36,1,B
0:16:48,2,C
0:17:06,0,D
0:17:30,-2,C
0:17:50,0,B
0:18:05,-1,C
